,Democracy,Freedom,Market,Socialism,Globalization,Traditionalism,Nationalism,q5,q3,bhs,hs,college,above_college,i0_50k,i50_100k,i100_150k,i150_300k,ia300k,north,northeast,east,southcentral,southwest,northwest,age,gender,qs2,qs10,qs01,qs0
102,7.0,-2.0,5.5,-2.5,0.0,-3.0,-7.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,43,0,0,1,0,0
103,0.0,-4.0,-0.5,0.5,-2.0,-1.0,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,31,1,0,0,1,0
104,1.0,0.0,-2.5,4.5,-4.0,4.0,2.0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,46,1,1,0,0,0
105,3.0,0.0,-0.5,2.5,1.0,-4.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,53,0,0,0,1,0
106,0.0,0.0,1.0,0.5,-2.0,-1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,27,0,0,0,0,1
107,4.0,0.0,2.5,-1.5,0.0,-5.0,-7.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,32,1,0,1,0,0
108,-2.0,-1.0,-2.0,4.5,-4.0,2.0,-2.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,40,1,0,0,1,0
109,-2.0,1.0,0.0,2.5,0.0,1.0,4.0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,39,1,1,0,0,0
110,0.0,-2.0,0.5,2.5,1.0,2.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,32,1,0,0,0,1
111,0.0,-3.0,-1.0,-0.5,0.0,-2.0,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,51,0,1,0,0,0
112,2.0,-1.0,5.5,-0.5,1.0,-6.0,-2.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,36,1,0,1,0,0
113,2.0,3.0,4.0,-0.5,0.0,-4.0,-3.0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,58,0,1,0,0,0
114,-1.0,-2.0,-4.0,5.5,-4.0,6.0,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,53,0,0,0,1,0
115,-4.0,0.0,-2.5,3.5,-3.0,3.0,5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,45,1,0,0,0,1
116,-6.0,-3.0,-0.5,4.5,-5.0,3.0,3.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,31,0,0,0,1,0
117,1.0,-1.0,2.5,1.5,2.0,-3.0,-3.0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,20,0,1,0,0,0
118,-1.0,2.0,-3.0,1.5,-3.0,2.0,6.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,45,1,1,0,0,0
119,1.0,-1.0,1.5,2.5,-3.0,2.0,-2.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,28,1,0,1,0,0
120,6.0,4.0,6.0,0.5,1.0,-4.0,-4.0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,45,1,1,0,0,0
121,-2.0,-4.0,1.5,4.5,-7.0,1.0,-1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,45,1,0,1,0,0
122,-4.0,-1.0,-5.5,3.5,1.0,9.0,3.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,60,0,0,0,1,0
123,-1.0,3.0,-0.5,1.5,-2.0,2.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,57,0,1,0,0,0
124,1.0,1.0,1.5,0.5,0.0,-0.0,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,40,1,0,1,0,0
125,2.0,0.0,-0.5,2.5,-1.0,-2.0,-1.0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,50,1,1,0,0,0
126,5.0,3.0,4.5,-5.5,-4.0,-9.0,-8.0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,27,0,1,0,0,0
127,-7.0,0.0,-1.0,1.5,-3.0,2.0,4.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,39,1,0,1,0,0
128,6.0,2.0,4.5,-0.5,-1.0,-6.0,-8.0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,52,0,1,0,0,0
129,0.0,-1.0,-2.5,0.5,2.0,-2.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,50,1,0,0,1,0
130,-9.0,-3.0,-5.0,0.5,0.0,12.0,9.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,55,1,0,0,0,1
131,2.0,1.0,-3.0,1.5,0.0,7.0,1.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,56,0,0,1,0,0
132,3.0,-2.0,0.0,2.5,-2.0,3.0,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,34,0,0,1,0,0
133,-2.0,-1.0,-1.5,0.5,-3.0,2.0,3.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,47,0,0,0,1,0
134,0.0,0.0,-4.0,2.5,-4.0,1.0,3.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,37,0,0,0,1,0
135,-4.0,-3.0,-5.5,0.5,-2.0,3.0,6.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,31,1,0,0,1,0
136,-7.0,0.0,-6.5,3.5,-4.0,3.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,59,0,0,0,1,0
137,-1.0,2.0,0.5,4.5,-2.0,3.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,34,1,0,1,0,0
138,4.0,0.0,1.0,-0.5,-2.0,-2.0,0.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,38,1,1,0,0,0
139,1.0,-4.0,-4.0,-2.5,-1.0,1.0,4.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,22,1,0,0,1,0
140,2.0,-2.0,0.0,1.5,-2.0,5.0,2.0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,24,0,1,0,0,0
141,-1.0,0.0,-2.0,0.5,-2.0,-1.0,5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,41,0,0,0,0,1
142,0.0,-1.0,-2.0,2.5,-2.0,2.0,2.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,55,0,0,0,0,1
143,4.0,-2.0,2.5,2.5,-3.0,-1.0,-2.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,26,0,0,1,0,0
144,2.0,0.0,5.0,-2.5,1.0,-7.0,-3.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,58,1,0,1,0,0
145,2.0,0.0,-1.0,0.5,-2.0,1.0,-3.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,56,0,1,0,0,0
146,0.0,1.0,0.5,2.5,0.0,-0.0,-1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,52,1,0,1,0,0
147,-5.0,-2.0,-2.5,3.5,-1.0,-2.0,1.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,42,0,1,0,0,0
148,-1.0,0.0,0.5,3.5,1.0,-1.0,3.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,47,1,0,1,0,0
149,-1.0,-4.0,-2.0,2.5,2.0,-0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,43,0,0,0,1,0
150,0.0,0.0,0.0,6.5,-2.0,-0.0,-2.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,37,1,1,0,0,0
151,3.0,2.0,2.5,-1.5,1.0,-4.0,-2.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,42,0,0,1,0,0
152,-1.0,-2.0,0.5,-0.5,-2.0,-0.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,36,1,0,1,0,0
153,2.0,-1.0,-0.5,1.5,-1.0,-1.0,-1.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,44,0,1,0,0,0
154,5.0,1.0,1.0,3.5,-2.0,5.0,-2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,51,0,0,1,0,0
155,8.0,2.0,2.5,-2.5,-2.0,-2.0,-3.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,23,1,0,1,0,0
156,0.0,0.0,-2.5,2.5,0.0,2.0,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,33,0,1,0,0,0
157,4.0,0.0,-1.5,3.5,-1.0,-0.0,-3.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,28,1,1,0,0,0
158,-5.0,-2.0,2.5,6.5,-2.0,-0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,24,1,0,0,0,1
159,2.0,1.0,1.0,-0.5,-3.0,-1.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,22,1,0,0,1,0
160,0.0,1.0,-4.0,2.5,-1.0,3.0,3.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,47,1,1,0,0,0
161,-3.0,-1.0,-4.5,1.5,-1.0,6.0,6.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,45,1,0,0,1,0
162,2.0,1.0,-1.0,3.5,-2.0,-0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,29,1,0,0,1,0
